"","rownames(resOrderedDF)","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:UTI89_C0583","gene:UTI89_C0583",692.388627066262,2.48260341641633,0.496296944359289,5.00225408323102,5.66638398139084e-07,0.000120812028469904
"gene:UTI89_C4740","gene:UTI89_C4740",4692.32161132163,-1.31795111332355,0.288424079086686,-4.56949058309185,4.88911132466605e-06,0.000676150882386923
"gene:UTI89_C4516","gene:UTI89_C4516",4365.5965177636,-0.931675382403346,0.25480480233026,-3.65642787688034,0.00025575432553094,0.013775735618335
"gene:UTI89_C0165","gene:UTI89_C0165",61.6139702242215,1.12289173764657,0.364006618398229,3.08481132180436,0.00203681319402799,0.0685682441700079
"gene:UTI89_C1830","gene:UTI89_C1830",91.3265304052488,-0.927418296846752,0.280198029108797,-3.30986730990405,0.000933402083631228,0.040821546068659
"gene:UTI89_P027","gene:UTI89_P027",2427.57138018673,1.32946678071944,0.439705727432154,3.02353755654588,0.00249838016240316,0.0804038445975911
"gene:UTI89_P013","gene:UTI89_P013",1849.90237511519,2.76860315360619,0.471199714556747,5.87564692438447,4.21195202156841e-09,2.69406981179569e-06
"gene:UTI89_C4028","gene:UTI89_C4028",5681.57030696133,2.23377314235977,0.509462819843873,4.38456557643269,1.16217470506116e-05,0.00121364244199958
"gene:UTI89_C0594","gene:UTI89_C0594",207.176770002754,2.07448937623333,0.485162876025328,4.27586173375109,1.90399370364684e-05,0.00187360303491555
"gene:UTI89_C4907","gene:UTI89_C4907",2137.84963520464,-0.770314534963447,0.242857809602208,-3.17187467113037,0.00151458355006295,0.0549097993182004
"gene:UTI89_C2183","gene:UTI89_C2183",311.205488442959,1.17606929580311,0.369206275577622,3.18539898587357,0.00144554559552205,0.0535458327242243
"gene:UTI89_C0598","gene:UTI89_C0598",332.53462269207,2.90516160371723,0.445117631093906,6.52672776986526,6.72220622181744e-11,8.59938230925996e-08
"gene:UTI89_C2327","gene:UTI89_C2327",56.0415250219693,-1.39588975131899,0.336767185325663,-4.1449696174202,3.39858768998748e-05,0.00310545950172606
"gene:UTI89_C0169","gene:UTI89_C0169",882.915212049534,2.07256181509389,0.380628505273004,5.44510404865068,5.1775111848386e-08,1.89238033805851e-05
"gene:UTI89_C3123","gene:UTI89_C3123",2627.75800124085,-1.4825609214771,0.415818284807009,-3.56540579297804,0.000363293643439291,0.0185897357347885
"gene:UTI89_C5072","gene:UTI89_C5072",312.706315908237,1.99927812752829,0.510349780628332,3.91746641894667,8.94845066566552e-05,0.00627249617208362
"gene:UTI89_C1859","gene:UTI89_C1859",17.1651647905218,1.13750542333034,0.382698534636653,2.97232761659338,0.00295551125583352,0.0927812950680989
"gene:UTI89_C1355","gene:UTI89_C1355",111.812245790947,-1.36956978523352,0.301324940092836,-4.54515907250014,5.48937814168059e-06,0.000723655981438952
"gene:UTI89_C0260","gene:UTI89_C0260",829.000003817996,-0.920321633955299,0.2904985739849,-3.16807625363123,0.00153451266415921,0.0549097993182004
"gene:UTI89_C2139","gene:UTI89_C2139",252.774025660588,1.65809444880279,0.48592945684873,3.41221225721854,0.00064437916826546,0.0302503504955446
"gene:UTI89_C1336","gene:UTI89_C1336",872.602295764131,2.02511056876787,0.461474791435144,4.38834494614529,1.14216520143833e-05,0.00121364244199958
"gene:UTI89_C2117","gene:UTI89_C2117",802.472634018215,0.762603916787472,0.233687350083522,3.2633512961438,0.00110102948024889,0.0436741693832061
"gene:UTI89_C2143","gene:UTI89_C2143",274.639839036946,1.78858074042176,0.467359602614274,3.826990459631,0.000129719540464583,0.00819475171058361
"gene:UTI89_C1684","gene:UTI89_C1684",214.207078924184,-1.44822462745903,0.440125484615797,-3.29048118793494,0.00100016189126992,0.0423595295651339
"gene:UTI89_C3121","gene:UTI89_C3121",596.834009746838,-1.27215626604784,0.390852549571614,-3.25482401852605,0.0011346264895822,0.0446606442091703
"gene:UTI89_C1554","gene:UTI89_C1554",130.813133982997,-1.6682365425167,0.300287917725007,-5.55545676014983,2.76886753521254e-08,1.28802683433478e-05
"gene:UTI89_C3792","gene:UTI89_C3792",336.559587742266,1.58791801141688,0.507770590657663,3.12723509520354,0.00176458761257532,0.0610094244158644
"gene:UTI89_C4969","gene:UTI89_C4969",10.7633686154521,1.74063745541042,0.44875130035722,3.87884659949691,0.000104952909431929,0.00700210628944286
"gene:UTI89_C3910","gene:UTI89_C3910",4198.36006176755,1.92225676752774,0.486459333086321,3.95152613340166,7.76543901968822e-05,0.00572167861503733
"gene:UTI89_C0015","gene:UTI89_C0015",1773.85020910419,-1.95012738650287,0.314836598077153,-6.19409369308768,5.86213502849537e-10,4.9994241568018e-07
"gene:UTI89_C3458","gene:UTI89_C3458",450.136832632383,0.981549450565785,0.323756854576063,3.03174878521431,0.00243141464298991,0.0797535174883293
"gene:UTI89_C0807","gene:UTI89_C0807",112.892496008809,1.38735676120522,0.348207606404626,3.98428045708191,6.76848985615622e-05,0.00524763069605324
"gene:UTI89_C3695","gene:UTI89_C3695",37.5291733913824,1.03784273019883,0.331653567768731,3.12929764989757,0.00175224712422733,0.0609948879909608
"gene:UTI89_C3036","gene:UTI89_C3036",139.948792001612,1.8640291507641,0.475446502125058,3.9205865274697,8.83337113365554e-05,0.00627249617208362
"gene:UTI89_C1710","gene:UTI89_C1710",201.965801932938,1.79522039922743,0.474982097299819,3.77955381778158,0.00015710963429812,0.00957059522266048
"gene:EBG00001165871","gene:EBG00001165871",23.4075976709454,-1.63598827114241,0.483814603639489,-3.38143631638175,0.00072107945098474,0.0334097446526335
"gene:UTI89_C2141","gene:UTI89_C2141",170.042726252347,1.68696165660868,0.488009459828186,3.45682163047127,0.000546586509287429,0.0266369825526074
"gene:UTI89_C1055","gene:UTI89_C1055",576.196492905303,1.01947921292432,0.320228011307225,3.18360410996726,0.00145453796143584,0.0535458327242243
"gene:UTI89_C4030","gene:UTI89_C4030",175.82971202964,1.74085776186306,0.515039693642513,3.38004581656842,0.00072473747438779,0.0334097446526335
"gene:UTI89_C3031","gene:UTI89_C3031",64.2504544058985,1.59151395458267,0.483788070717435,3.28969243127994,0.00100296949441443,0.0423595295651339
"gene:UTI89_C0315","gene:UTI89_C0315",191.586567679707,-0.835888354377726,0.283475946256538,-2.94870998903473,0.00319103269559912,0.097813158835335
"gene:UTI89_C0018","gene:UTI89_C0018",481.859382903391,-0.929129850682079,0.283126561849095,-3.28167673359203,0.00103191834191047,0.0425832754480313
"gene:UTI89_C3915","gene:UTI89_C3915",1988.59066660846,-0.835597136051674,0.266748033453122,-3.13253344451936,0.00173304681824988,0.0609948879909608
"gene:UTI89_C4238","gene:UTI89_C4238",1151.74890313618,-2.32874445435251,0.284531063006488,-8.18449989166708,2.73436787393331e-16,6.99588020545837e-13
"gene:UTI89_C0597","gene:UTI89_C0597",351.385509459446,3.01304971887671,0.470193950660298,6.40809971001426,1.47344539736308e-10,1.50792401966138e-07
"gene:UTI89_C4036","gene:UTI89_C4036",1070.82160993838,2.68218471745783,0.496821285168463,5.398691234713,6.7128788990173e-08,2.28998675508477e-05
"gene:UTI89_C0808","gene:UTI89_C0808",491.820824082187,1.77981559143397,0.434332446750957,4.09781862890503,4.17061857526727e-05,0.003617128008414
"gene:UTI89_C4035","gene:UTI89_C4035",1635.19794023485,2.22040952279007,0.505886635232384,4.38914446073497,1.13797460084092e-05,0.00121364244199958
"gene:UTI89_C0113","gene:UTI89_C0113",132.516265136714,0.914557603615084,0.283545723662186,3.22543253977859,0.00125782475064918,0.0476762166597917
"gene:UTI89_C1338","gene:UTI89_C1338",2936.20037996342,2.32808673112972,0.485874770008104,4.79153657451876,1.65508841164326e-06,0.000292037496633743
"gene:UTI89_C2329","gene:UTI89_C2329",33.2851479616007,-1.38956950214352,0.365694431704595,-3.79981039269967,0.000144806838279935,0.00892742881299311
"gene:UTI89_C0592","gene:UTI89_C0592",73.0384747980494,2.04946966131184,0.502423628457296,4.0791665543374,4.51974477193996e-05,0.00385458899966946
"gene:UTI89_C1592","gene:UTI89_C1592",279.372812974431,-0.991109275736376,0.306801033479467,-3.23046263728674,0.00123590056469298,0.0475496480416088
"gene:UTI89_C3339","gene:UTI89_C3339",77.6083542093323,0.939919338360157,0.258215130808877,3.64006297932966,0.00027257136417088,0.0145286215673166
"gene:UTI89_C3945","gene:UTI89_C3945",177.912465480553,0.804513398783455,0.258572079305869,3.1113699551133,0.00186221476093918,0.0639527042397704
"gene:UTI89_C1337","gene:UTI89_C1337",838.768830453242,1.93937556424958,0.455682151774904,4.25598315996276,2.08132372994993e-05,0.00197224694928774
"gene:UTI89_C3909","gene:UTI89_C3909",632.507384493858,1.41746821185284,0.477232676592999,2.97018264124799,0.00297622743432877,0.0928619254967092
"gene:UTI89_C1082","gene:UTI89_C1082",2199.53593300628,2.23448995927364,0.439935733225828,5.07912813285079,3.79170924917018e-07,8.81917101272901e-05
"gene:UTI89_C0083","gene:UTI89_C0083",6.29372972766711,-1.66118632282993,0.50493981766317,-3.28986993047567,0.00100233704521011,0.0423595295651339
